task_index,task_id,window_index,window_id,section,date,duration_min,capacity_min,priority,due_date,block_start,block_end,block_start_time,block_end_time,department,asset_id,severity,status
215,M028,250,W0251,S09,2026-09-07,60,180,33.5,2026-09-30,840,900,14:00,15:00,Traction,AST087,Low,Completed
216,M199,63,W0064,S03,2026-09-08,60,180,32.5,2026-09-15,540,600,09:00,10:00,Engineering,AST030,Low,Pending
217,M046,2,W0003,S01,2026-09-08,60,180,31.0,2026-09-12,540,600,09:00,10:00,S&T,AST067,Low,Pending
218,M148,2,W0003,S01,2026-09-08,60,180,31.0,2026-09-12,540,600,09:00,10:00,Engineering,AST024,Low,Pending
219,M255,103,W0104,S04,2026-09-12,60,180,31.0,2026-09-16,540,600,09:00,10:00,S&T,AST058,Medium,Pending
220,M281,561,W0562,S19,2026-09-09,60,180,29.5,2026-09-29,540,600,09:00,10:00,S&T,AST037,Medium,Pending
221,M016,531,W0532,S18,2026-09-10,60,180,29.5,2026-09-19,840,900,14:00,15:00,Traction,AST069,Medium,Ongoing
222,M022,249,W0250,S09,2026-09-07,60,180,29.5,2026-09-29,540,600,09:00,10:00,S&T,AST051,Medium,Completed
223,M171,529,W0530,S18,2026-09-09,30,180,29.5,2026-09-27,840,870,14:00,14:30,S&T,AST066,Medium,Ongoing
224,M184,123,W0124,S05,2026-09-08,60,180,29.5,2026-09-29,540,600,09:00,10:00,Traction,AST080,Low,Ongoing
225,M278,311,W0312,S11,2026-09-08,60,180,29.5,2026-09-21,540,600,09:00,10:00,S&T,AST061,Low,Completed
226,M194,301,W0302,S10,2026-09-17,60,180,29.5,2026-09-26,540,600,09:00,10:00,Engineering,AST029,Medium,Completed
227,M174,558,W0559,S19,2026-09-07,60,180,29.5,2026-09-18,840,900,14:00,15:00,S&T,AST055,Medium,Pending
228,M219,156,W0157,S06,2026-09-08,60,180,29.5,2026-09-19,540,600,09:00,10:00,Engineering,AST027,Medium,Ongoing
229,M157,153,W0154,S06,2026-09-07,30,180,29.5,2026-09-30,540,570,09:00,09:30,Traction,AST083,Low,Ongoing
230,M173,202,W0203,S07,2026-09-15,30,180,29.5,2026-09-18,540,570,09:00,09:30,S&T,AST040,Medium,Ongoing
231,M167,154,W0155,S06,2026-09-07,60,100,29.5,2026-09-17,840,900,14:00,15:00,Engineering,AST027,Medium,Ongoing
232,M221,63,W0064,S03,2026-09-08,60,180,29.5,2026-09-21,540,600,09:00,10:00,S&T,AST065,Low,Pending
233,M161,201,W0202,S07,2026-09-14,60,180,29.5,2026-09-17,840,900,14:00,15:00,S&T,AST040,Medium,Ongoing
234,M273,106,W0107,S04,2026-09-13,90,180,29.5,2026-09-24,840,930,14:00,15:30,S&T,AST045,Medium,Pending
235,M093,102,W0103,S04,2026-09-11,60,180,29.5,2026-09-20,840,900,14:00,15:00,S&T,AST068,Low,Pending
236,M065,437,W0438,S15,2026-09-09,90,180,29.5,2026-10-04,540,630,09:00,10:30,Engineering,AST021,Medium,Ongoing
237,M076,531,W0532,S18,2026-09-10,60,180,29.5,2026-10-02,840,900,14:00,15:00,Traction,AST076,Medium,Ongoing
238,M261,600,W0601,S20,2026-09-11,60,110,29.5,2026-10-02,840,900,14:00,15:00,S&T,AST057,Low,Completed
239,M215,603,W0604,S20,2026-09-12,30,180,29.5,2026-10-03,840,870,14:00,14:30,S&T,AST057,Low,Completed
240,M087,530,W0531,S18,2026-09-10,60,180,29.0,2026-09-28,540,600,09:00,10:00,Traction,AST069,Low,Ongoing
241,M038,249,W0250,S09,2026-09-07,30,180,28.0,2026-09-14,540,570,09:00,09:30,Traction,AST087,Low,Completed
242,M186,101,W0102,S04,2026-09-11,60,180,26.5,2026-09-15,540,600,09:00,10:00,S&T,AST042,Low,Pending
243,M240,282,W0283,S10,2026-09-08,60,160,26.5,2026-09-12,540,600,09:00,10:00,Engineering,AST029,Low,Completed
244,M196,201,W0202,S07,2026-09-14,30,180,26.5,2026-09-12,840,870,14:00,14:30,Engineering,AST033,Low,Ongoing
245,M048,282,W0283,S10,2026-09-08,60,160,25.0,2026-09-13,540,600,09:00,10:00,S&T,AST053,Low,Completed
246,M047,1,W0002,S01,2026-09-07,30,180,25.0,2026-09-16,840,870,14:00,14:30,Engineering,AST024,Low,Pending
247,M044,221,W0222,S08,2026-09-09,60,150,23.5,2026-09-23,540,600,09:00,10:00,S&T,AST049,Low,Ongoing
248,M170,102,W0103,S04,2026-09-11,60,180,23.5,2026-09-27,840,900,14:00,15:00,Engineering,AST022,Low,Pending
249,M208,153,W0154,S06,2026-09-07,30,180,23.5,2026-09-14,540,570,09:00,09:30,Engineering,AST025,Low,Ongoing
250,M172,1,W0002,S01,2026-09-07,30,180,23.5,2026-10-03,840,870,14:00,14:30,S&T,AST067,Low,Pending
251,M272,156,W0157,S06,2026-09-08,60,180,23.5,2026-09-28,540,600,09:00,10:00,Engineering,AST001,Low,Ongoing
252,M110,153,W0154,S06,2026-09-07,30,180,23.5,2026-09-18,540,570,09:00,09:30,Traction,AST099,Low,Ongoing
253,M130,101,W0102,S04,2026-09-11,30,180,23.5,2026-09-18,540,570,09:00,09:30,Traction,AST079,Low,Pending
254,M141,405,W0406,S14,2026-09-08,60,180,23.5,2026-09-25,540,600,09:00,10:00,Engineering,AST020,Low,Pending
255,M227,435,W0436,S15,2026-09-08,60,180,22.0,2026-09-15,540,600,09:00,10:00,Traction,AST074,Low,Ongoing
256,M280,528,W0529,S18,2026-09-09,30,180,19.0,2026-10-01,540,570,09:00,09:30,Traction,AST069,Low,Ongoing
257,M145,300,W0301,S10,2026-09-16,30,180,19.0,2026-09-26,840,870,14:00,14:30,Traction,AST085,Low,Completed
258,M204,153,W0154,S06,2026-09-07,30,180,19.0,2026-09-29,540,570,09:00,09:30,Engineering,AST027,Low,Ongoing
259,M080,202,W0203,S07,2026-09-15,60,180,19.0,2026-10-04,540,600,09:00,10:00,Traction,AST094,Low,Ongoing
260,M114,300,W0301,S10,2026-09-16,60,180,19.0,2026-09-24,840,900,14:00,15:00,S&T,AST053,Low,Completed
261,M257,101,W0102,S04,2026-09-11,60,180,19.0,2026-10-01,540,600,09:00,10:00,Traction,AST075,Low,Pending
262,M275,63,W0064,S03,2026-09-08,60,180,19.0,2026-10-03,540,600,09:00,10:00,S&T,AST039,Low,Pending
